pid:page:w0 w1 w2 w3 w4 w5 w6 w7
1:33:0 0 0 0 0 0 0 0 
2:196:0 0 0 0 0 0 0 0 
2:78:0 0 0 0 0 0 0 0 
4:124:0 0 0 0 0 0 0 0 
4:227:0 0 0 0 0 0 0 0 
4:104:0 0 0 0 0 0 0 0 
2:102:0 0 0 0 0 0 0 0 
4:18:0 0 0 0 0 0 0 0 
2:1:0 0 531 0 0 0 0 0 
1:204:0 0 0 0 330 0 0 0 
4:202:0 0 0 0 0 0 0 0 
3:29:0 0 0 0 0 0 0 0 
3:194:0 0 0 0 0 0 0 0 
2:231:0 0 0 0 0 0 0 0 
3:160:0 0 0 0 0 0 0 0 
4:173:0 0 0 0 0 0 0 0 
2:214:0 0 0 0 0 0 0 0 
1:232:349 0 0 0 0 0 0 0 
1:243:0 0 0 0 0 0 0 0 
4:6:0 0 0 0 0 0 0 0 
1:168:0 0 0 0 0 0 0 0 
3:175:0 0 0 0 0 0 0 826 
3:247:0 0 0 0 0 0 0 0 
3:169:0 0 0 0 0 0 0 0 
4:11:0 0 0 0 9204 0 0 0 
2:26:0 0 0 0 0 0 0 0 
3:68:0 0 0 0 0 0 23483 0 
3:46:306 0 0 0 0 0 0 0 
26:47:0 0 0 0 0 0 0 0 
10:255:0 0 0 0 0 0 0 0 
10:56:0 0 347 0 0 0 0 0 
27:22:0 0 0 0 0 0 0 0 
27:59:0 0 445 0 0 0 0 0 
10:128:0 0 0 0 0 0 0 0 
10:109:0 0 0 0 0 0 0 0 
27:139:0 0 0 0 0 0 0 0 
10:0:0 0 0 0 0 0 0 0 
27:114:0 0 0 0 706 0 0 0 
10:85:0 0 0 0 518 0 0 0 
27:178:0 0 0 0 0 0 0 0 
10:200:0 0 0 0 0 0 0 0 
10:81:0 0 0 0 0 0 0 0 
10:223:0 0 0 0 0 0 0 0 
13:227:0 0 0 0 361 0 0 0 
26:77:0 0 0 0 0 0 0 0 
10:43:0 0 0 742 0 0 0 0 
26:147:0 0 0 0 0 0 0 0 
10:92:0 0 518 0 0 0 0 0 
10:183:0 0 0 0 0 0 13777 0 
10:25:0 0 0 518 0 0 0 0 
13:100:0 0 0 0 0 0 0 565 
36:138:0 0 0 0 0 0 0 12944 
36:74:0 0 0 0 0 0 0 607 
13:53:0 0 0 0 0 0 0 0 
36:156:0 0 0 0 0 0 0 0 
36:72:0 0 0 0 0 0 0 0 
13:209:0 0 0 0 0 0 0 0 
36:124:0 0 0 0 0 0 0 0 
26:207:0 0 0 582 0 0 0 0 
36:133:0 0 0 0 0 0 0 0 
44:104:0 0 0 0 0 0 0 0 
44:31:0 0 0 0 0 0 0 0 
44:79:0 0 0 0 0 0 0 0 
44:170:0 401 0 0 0 0 0 0 
44:219:0 0 0 0 0 0 0 0 
47:89:0 0 0 0 0 0 0 0 
44:200:0 0 0 0 0 0 0 0 
44:0:0 0 0 0 0 0 0 0 
45:71:0 0 0 0 0 0 0 0 
44:235:0 0 0 0 0 0 0 0 
47:246:0 0 0 0 43 0 0 0 
45:156:0 0 0 0 0 0 0 0 
45:84:0 0 513 0 0 0 0 0 
44:178:0 39506 0 0 0 0 0 0 
44:197:0 0 0 0 0 0 0 0 
47:78:0 0 0 0 0 0 0 37766 
47:41:0 37766 0 0 0 0 0 0 
26:175:0 449 0 0 0 0 0 0 
45:21:0 0 0 0 0 9 0 0 
44:97:0 0 0 0 0 0 0 0 
31:245:0 0 0 0 0 0 375 0 
45:229:0 0 0 0 0 0 0 0 
44:185:0 0 0 0 0 0 0 0 
47:214:0 125 0 0 0 0 0 0 
47:161:0 0 0 0 662 0 0 0 
56:38:0 0 0 0 0 0 0 458 
45:164:0 0 0 0 0 0 0 0 
47:173:0 0 0 0 0 33722 0 0 
31:201:0 0 0 0 0 0 0 0 
47:196:0 0 0 0 0 662 0 0 
47:63:0 0 0 0 0 0 0 0 
45:240:0 0 0 0 0 0 0 0 
62:80:0 460 0 0 0 0 0 0 
52:185:0 0 0 0 0 0 55229 0 
52:17:0 0 0 0 0 0 0 55229 
52:161:0 0 0 0 0 0 315 0 
31:133:0 0 0 0 0 0 0 609 
52:162:0 0 0 0 315 0 0 0 
